n_tries,n_choices,guesses,feedback,won
6,"[6512, 59, 6, 5, 4, 3]","['spasm', 'vapes', 'pales', 'pages', 'paces', 'pares']","{'false_letters': ['v', 'g', 'm', 'l', 'c'], 'true_letters': {1: 'a', 3: 'e', 4: 's', 0: 'p', 2: 'r'}, 'misplaced_letters': {0: ['s'], 1: ['p'], 2: ['a', 'p'], 3: ['s']}}",1
4,"[6512, 33, 12, 1]","['wrong', 'boons', 'peony', 'phone']","{'false_letters': ['y', 'w', 'g', 'b', 's', 'r'], 'true_letters': {2: 'o', 3: 'n', 0: 'p', 1: 'h', 4: 'e'}, 'misplaced_letters': {1: ['o', 'e']}}",1
7,"[6512, 236, 51, 24, 15, 2, 1]","['hazel', 'yaren', 'taker', 'pager', 'racer', 'caver', 'caber']","{'false_letters': ['p', 'z', 'y', 'v', 'n', 'g', 'l', 'k', 't', 'h'], 'true_letters': {1: 'a', 3: 'e', 4: 'r', 0: 'c', 2: 'b'}, 'misplaced_letters': {2: ['r', 'c'], 0: ['r']}}",0
4,"[6512, 60, 6, 1]","['lousy', 'value', 'unlit', 'tulip']","{'false_letters': ['e', 'o', 'y', 'n', 'v', 's', 'a'], 'true_letters': {2: 'l', 3: 'i', 0: 't', 1: 'u', 4: 'p'}, 'misplaced_letters': {0: ['l', 'u'], 2: ['u'], 3: ['u'], 4: ['t']}}",1
5,"[6512, 641, 10, 3, 1]","['aston', 'jerks', 'curse', 'shred', 'shrew']","{'false_letters': ['j', 'u', 'o', 'n', 'd', 'a', 'k', 't', 'c'], 'true_letters': {2: 'r', 0: 's', 1: 'h', 3: 'e', 4: 'w'}, 'misplaced_letters': {1: ['s', 'e'], 4: ['s', 'e'], 3: ['s']}}",1
4,"[6512, 64, 5, 1]","['mayer', 'might', 'mints', 'mitzi']","{'false_letters': ['e', 'y', 'n', 'g', 's', 'a', 'r', 'h'], 'true_letters': {0: 'm', 1: 'i', 2: 't', 3: 'z', 4: 'i'}, 'misplaced_letters': {4: ['t'], 3: ['t']}}",1
6,"[6512, 1180, 142, 12, 6, 1]","['gorps', 'icily', 'fetid', 'xxxix', 'bahia', 'nubia']","{'false_letters': ['p', 'e', 'f', 'o', 'y', 'x', 'g', 'd', 's', 'l', 'r', 't', 'h', 'c'], 'true_letters': {3: 'i', 4: 'a', 0: 'n', 1: 'u', 2: 'b'}, 'misplaced_letters': {0: ['i', 'b'], 2: ['i'], 1: ['a']}}",1
3,"[6512, 29, 1]","['reals', 'ranch', 'ronda']","{'false_letters': ['e', 's', 'l', 'h', 'c'], 'true_letters': {0: 'r', 2: 'n', 1: 'o', 3: 'd', 4: 'a'}, 'misplaced_letters': {2: ['a'], 1: ['a']}}",1
6,"[6512, 71, 20, 16, 4, 1]","['erato', 'crass', 'wraps', 'brags', 'frays', 'drays']","{'false_letters': ['e', 'p', 'f', 'o', 'w', 'g', 'b', 't', 'c'], 'true_letters': {1: 'r', 2: 'a', 4: 's', 3: 'y', 0: 'd'}, 'misplaced_letters': {3: ['s']}}",1
6,"[6512, 1093, 62, 18, 5, 2]","['scrog', 'table', 'mahdi', 'zappy', 'fauna', 'wanna']","{'false_letters': ['e', 'p', 'i', 'z', 'o', 'y', 'f', 'u', 'g', 'm', 'b', 's', 'l', 'r', 'd', 't', 'h', 'c'], 'true_letters': {1: 'a', 3: 'n', 4: 'a', 0: 'w', 2: 'n'}, 'misplaced_letters': {}}",1
